roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),recovery_minus_baseline,entropy_change,-0.07370598052390226,0.19888725797700607,-0.035551210136353845,0.16779670284258008,-0.6079789269186574,0.5522963091195521,-0.2073630741411795,16
4,Precentral sulcus mid-inferior RH,stimulation_minus_baseline,free_energy_change,-0.05492276075719754,0.13166852975288867,-0.08830551463832184,0.17448664216729007,0.6580041394140703,0.5205069066745034,0.21597532333545258,16
4,Precentral sulcus mid-inferior RH,stimulation_minus_baseline,potential_energy_change,-0.018729935149860637,0.07315284487711687,-0.029291125348019184,0.13295113904894115,0.2499686254447749,0.8060026918517528,0.09842511628345745,16
4,Precentral sulcus mid-inferior RH,stimulation_minus_baseline,entropy_change,-0.036192825607337026,0.13296622259136662,-0.05901438929030259,0.1341142977503779,0.5914657808451582,0.5630166771634468,0.17089492567748873,16
4,Precentral sulcus mid-inferior RH,recovery_minus_baseline,free_energy_change,-0.01484984313919166,0.16819265401260935,-0.07451131275296224,0.19579362960645966,0.878930725018069,0.39330126777115737,0.32688415716027774,16
4,Precentral sulcus mid-inferior RH,recovery_minus_baseline,potential_energy_change,0.015406994483323456,0.08493687117338215,-0.021607281686521845,0.11948974582495116,0.9823905432187992,0.34148840605515907,0.3570632232126672,16
4,Precentral sulcus mid-inferior RH,recovery_minus_baseline,entropy_change,-0.030256837622515215,0.14951628576763104,-0.0529040310664404,0.12136822884748408,0.5479858718688605,0.5917637349949196,0.16631372807795716,16
5,Putamen inferior RH,stimulation_minus_baseline,free_energy_change,0.015414508010991812,0.18872294635362855,0.021789466563038207,0.15149441508042183,-0.09925763722923346,0.9222480821403249,-0.037253425605748854,16
5,Putamen inferior RH,stimulation_minus_baseline,potential_energy_change,-0.008437463219365771,0.10839609699455932,0.017578441623400692,0.08396700520710634,-0.6405041892649298,0.5315083887081775,-0.2683323438564227,16
5,Putamen inferior RH,stimulation_minus_baseline,entropy_change,0.02385197123035751,0.14249068120104838,0.004211024939637542,0.10891133434084145,0.3994422166574263,0.695197060029163,0.15487587932019448,16
